Song_name,Scale,Capo,Chords,Frequency_map_of_each_chord,bpm
Dreams,F,no capo,"['Fmaj7', 'F', 'G', 'G6', 'Am']","{'Fmaj7': 30, 'F': 33, 'G': 49, 'G6': 13, 'Am': 1}",120 
If I Aint Got You,G,no capo,"['Cmaj7', 'Bm7', 'Am7', 'Gmaj7', 'A#m7', 'G#maj7', 'Em7', 'D9', 'G#dim7', 'Cmaj9', 'C#maj7', 'D']","{'Cmaj7': 7, 'Bm7': 24, 'Am7': 34, 'Gmaj7': 28, 'A#m7': 5, 'G#maj7': 4, 'Em7': 2, 'D9': 4, 'G#dim7': 2, 'Cmaj9': 5, 'C#maj7': 2, 'D': 1}",118 
In My Life,A,no capo,"['A', 'E', 'F#m', 'A7/G', 'D', 'Dm', 'G', 'B', 'E7']","{'A': 23, 'E': 10, 'F#m': 12, 'A7/G': 6, 'D': 9, 'Dm': 10, 'G': 3, 'B': 3, 'E7': 1}",104 
Joy To The World,G,no capo,"['G', 'D', 'C']","{'G': 28, 'D': 16, 'C': 8}",100 
Purple Rain,A#,3rd fret,"['G', 'Em', 'D', 'C']","{'G': 18, 'Em': 12, 'D': 12, 'C': 9}",57 
Yellow,B,no capo,"['B', 'Badd11', 'F#', 'E', 'G#m', 'B7sus4', 'F#m']","{'B': 21, 'Badd11': 2, 'F#': 15, 'E': 18, 'G#m': 7, 'B7sus4': 2, 'F#m': 1}",87 
Dust In The Wind,C,no capo,"['C', 'Cmaj7', 'Cadd9', 'Asus2', 'Asus4', 'Am', 'G/B', 'G', 'Dm7', 'D']","{'C': 12, 'Cmaj7': 4, 'Cadd9': 6, 'Asus2': 6, 'Asus4': 4, 'Am': 26, 'G/B': 6, 'G': 14, 'Dm7': 6, 'D': 8}",94 
Santa Claus Is Coming To Town,G,no capo,"['G', 'C', 'Em', 'Am7', 'D7', 'G7', 'A7', 'D']","{'G': 14, 'C': 8, 'Em': 4, 'Am7': 4, 'D7': 4, 'G7': 2, 'A7': 2, 'D': 2}",140 
You Are The Reason,A#,3rd fret,"['G', 'Em', 'C', 'D', 'Cm']","{'G': 18, 'Em': 13, 'C': 17, 'D': 24, 'Cm': 3}",57 
Leaving On A Jet Plane,G,no capo,"['D', 'G', 'C']","{'D': 13, 'G': 36, 'C': 36}",133 
Stay With Me,Am,no capo,"['Am7', 'F', 'C', 'Gsus', 'Am', 'G', 'G#dim']","{'Am7': 10, 'F': 28, 'C': 30, 'Gsus': 2, 'Am': 20, 'G': 5, 'G#dim': 5}",85 
Africa,B,no capo,"['B/F#', 'A/E', 'A', 'G#m', 'C#m', 'B', 'D#m', 'Bsus/F#', 'F#m', 'D', 'E', 'E/G#', 'D#7']","{'B/F#': 7, 'A/E': 7, 'A': 38, 'G#m': 32, 'C#m': 23, 'B': 9, 'D#m': 8, 'Bsus/F#': 5, 'F#m': 19, 'D': 16, 'E': 16, 'E/G#': 3, 'D#7': 1}",92 
Wellerman,Am,3rd fret,"['Am', 'Dm', 'E', 'F', 'C', 'G']","{'Am': 38, 'Dm': 14, 'E': 12, 'F': 14, 'C': 14, 'G': 1}",95 
Made You Look,A#,1st fret,"['A', 'C#/F', 'F#m', 'D', 'E', 'B']","{'A': 27, 'C#/F': 5, 'F#m': 7, 'D': 10, 'E': 10, 'B': 2}",NF
Sweet Nothing,C,no capo,"['F', 'C/E', 'Dm7', 'C', 'G', 'Am', 'Em']","{'F': 21, 'C/E': 17, 'Dm7': 17, 'C': 21, 'G': 4, 'Am': 3, 'Em': 1}",112 
The Scientist,Dm,5th fret,"['Am7', 'F', 'C', 'C/B', 'D', 'A', 'C6', 'G']","{'Am7': 16, 'F': 22, 'C': 35, 'C/B': 14, 'D': 1, 'A': 1, 'C6': 2, 'G': 2}",73 
Feathered Indians,Key Not Find,5th fret,"['D', 'A', 'G', 'A7', 'Bm']","{'D': 12, 'A': 16, 'G': 28, 'A7': 8, 'Bm': 5}",168 
A Star Is Born - Shallow,Em,no capo,"['Em7', 'D/F#', 'G', 'C', 'Cadd9', 'D', 'Am', 'Em', 'Bm', 'A', 'Am/G']","{'Em7': 13, 'D/F#': 21, 'G': 30, 'C': 10, 'Cadd9': 2, 'D': 22, 'Am': 9, 'Em': 10, 'Bm': 3, 'A': 3, 'Am/G': 5}",96 
Careless Whisper,Dm,no capo,"['Dm7', 'Gm7', 'A#maj7', 'Am7']","{'Dm7': 22, 'Gm7': 22, 'A#maj7': 22, 'Am7': 22}",NF
Dont Stop Me Now,F,no capo,"['F', 'Am', 'Dm', 'Gm', 'C', 'F7', 'A#', 'D7', 'C7', 'Gm7', 'D#', 'F/G', 'Dm7/C', 'F/A', 'Bdim', 'G#6/A#']","{'F': 25, 'Am': 13, 'Dm': 13, 'Gm': 31, 'C': 23, 'F7': 6, 'A#': 9, 'D7': 10, 'C7': 3, 'Gm7': 17, 'D#': 1, 'F/G': 2, 'Dm7/C': 2, 'F/A': 3, 'Bdim': 3, 'G#6/A#': 2}",156 
Patience,C,no capo,"['C', 'G', 'A', 'D', 'Em', 'Dsus2', 'Dsus4', 'D/F#', 'F']","{'C': 27, 'G': 31, 'A': 6, 'D': 88, 'Em': 7, 'Dsus2': 38, 'Dsus4': 19, 'D/F#': 2, 'F': 1}",60 
Burn Burn Burn,Key Not Find,3rd fret,"['C', 'Am', 'G', 'F']","{'C': 45, 'Am': 21, 'G': 21, 'F': 12}",165 
Romantic Homicide,F#,6th fret,"['Fmaj7', 'Cmaj7']","{'Fmaj7': 8, 'Cmaj7': 8}",66 
Believer,A#m,1st fret,"['Am', 'F', 'E', 'E/G#', 'G', 'E7', 'E7/G#']","{'Am': 24, 'F': 25, 'E': 18, 'E/G#': 3, 'G': 1, 'E7': 3, 'E7/G#': 1}",63 
Hey Jude,F,no capo,"['F', 'C', 'F/C', 'C7', 'C7sus4', 'A#', 'Fmaj7', 'F7', 'A#/A', 'Gm', 'A#/F', 'C/E', 'D#']","{'F': 28, 'C': 16, 'F/C': 4, 'C7': 12, 'C7sus4': 4, 'A#': 10, 'Fmaj7': 4, 'F7': 6, 'A#/A': 4, 'Gm': 4, 'A#/F': 4, 'C/E': 4, 'D#': 2}",75 
Dont Stop Believin,E,no capo,"['E', 'B', 'C#m', 'A', 'G#m']","{'E': 29, 'B': 23, 'C#m': 10, 'A': 29, 'G#m': 9}",120 
Im Still Standing,Am,no capo,"['Am', 'Dm/A', 'E/A', 'F/A', 'G/A', 'A', 'D/A', 'Bm7/A', 'E', 'F#m', 'D', 'Bm/A', 'Am7', 'Em/G', 'Dm7', 'Fmaj7', 'G', 'E7', 'F/E', 'G/E']","{'Am': 14, 'Dm/A': 2, 'E/A': 6, 'F/A': 2, 'G/A': 2, 'A': 15, 'D/A': 8, 'Bm7/A': 7, 'E': 4, 'F#m': 4, 'D': 4, 'Bm/A': 1, 'Am7': 6, 'Em/G': 6, 'Dm7': 12, 'Fmaj7': 3, 'G': 3, 'E7': 9, 'F/E': 3, 'G/E': 3}",NF
Yesterday,F,5th fret,"['C', 'Bm7', 'E7', 'Am', 'G', 'F', 'C/B', 'D7', 'Bm', 'Dm6', 'G7', 'Dm']","{'C': 18, 'Bm7': 4, 'E7': 8, 'Am': 13, 'G': 14, 'F': 13, 'C/B': 4, 'D7': 5, 'Bm': 4, 'Dm6': 2, 'G7': 2, 'Dm': 2}",96 
Wonderwall,F#m,2nd fret,"['Em7', 'G', 'Dsus4', 'A7sus4', 'Cadd9', 'C', 'D', 'Em', 'G/F#']","{'Em7': 48, 'G': 33, 'Dsus4': 13, 'A7sus4': 15, 'Cadd9': 18, 'C': 6, 'D': 6, 'Em': 4, 'G/F#': 2}",88 
Reckless Love,Em,no capo,"['Em', 'D', 'C', 'G']","{'Em': 36, 'D': 36, 'C': 36, 'G': 28}",111 
Blue Christmas,E,no capo,"['E', 'B', 'B7', 'E7', 'A', 'F#', 'D', 'A7', 'D7', 'G']","{'E': 14, 'B': 4, 'B7': 7, 'E7': 3, 'A': 7, 'F#': 3, 'D': 11, 'A7': 7, 'D7': 3, 'G': 3}",NF
Ocean Eyes,Em,no capo,"['C', 'Dsus2', 'Em', 'G', 'G/B']","{'C': 52, 'Dsus2': 33, 'Em': 33, 'G': 19, 'G/B': 19}",72 
How Do I Say GooC#ye ,G#,no capo,"['G', 'C', 'Em7', 'Am7', 'F', 'Dm', 'Am', 'Gadd11', 'E']","{'G': 44, 'C': 43, 'Em7': 8, 'Am7': 4, 'F': 30, 'Dm': 9, 'Am': 31, 'Gadd11': 2, 'E': 2}",NF
Wonderwall,F#m,no capo,"['F#m7', 'A', 'Esus4', 'B7sus4', 'D', 'F#m']","{'F#m7': 54, 'A': 38, 'Esus4': 26, 'B7sus4': 18, 'D': 27, 'F#m': 7}",87 
The Man Who Sold The World,A,no capo,"['A', 'Dm', 'F', 'C', 'C#']","{'A': 9, 'Dm': 4, 'F': 11, 'C': 8, 'C#': 6}",115 
Mad World,Fm,1st fret,"['Em', 'A', 'G', 'D']","{'Em': 24, 'A': 24, 'G': 8, 'D': 8}",87 
Sweet Caroline,A,2nd fret,"['E', 'A', 'D', 'A6', 'C#', 'F#', 'C#m', 'Bm']","{'E': 23, 'A': 17, 'D': 29, 'A6': 2, 'C#': 7, 'F#': 7, 'C#m': 2, 'Bm': 2}",127 
Sign Of The Times,F,no capo,"['F', 'Dm', 'C', 'C7', 'A#', 'Am', 'G', 'G7']","{'F': 23, 'Dm': 21, 'C': 22, 'C7': 10, 'A#': 5, 'Am': 1, 'G': 1, 'G7': 1}",62 
Mistletoe,G,2nd fret,"['G', 'D', 'Em', 'C']","{'G': 15, 'D': 15, 'Em': 15, 'C': 15}",81 
Clocks,Fm,1st fret,"['D', 'Am', 'Em', 'Em/G', 'Fmaj7', 'C', 'G']","{'D': 28, 'Am': 44, 'Em': 23, 'Em/G': 5, 'Fmaj7': 4, 'C': 3, 'G': 3}",131 
GooC#ye Yellow Brick Road,F,no capo,"['C#', 'D#', 'F', 'C', 'Dm', 'A#', 'C/E', 'Dm/C', 'A#/C', 'Gm', 'G#', 'A#m', 'C7', 'A7', 'D7', 'A']","{'C#': 13, 'D#': 11, 'F': 27, 'C': 17, 'Dm': 6, 'A#': 12, 'C/E': 3, 'Dm/C': 3, 'A#/C': 3, 'Gm': 6, 'G#': 4, 'A#m': 4, 'C7': 2, 'A7': 2, 'D7': 2, 'A': 2}",60 
Toy Story - Youve Got A Friend In Me,D#,3rd fret,"['C', 'E7', 'Am', 'G#7', 'G', 'Gaug', 'C9', 'C7', 'F', 'F#dim7', 'D7', 'A7', 'B', 'B7', 'Em', 'Dm']","{'C': 31, 'E7': 10, 'Am': 10, 'G#7': 3, 'G': 11, 'Gaug': 5, 'C9': 1, 'C7': 7, 'F': 11, 'F#dim7': 4, 'D7': 7, 'A7': 5, 'B': 2, 'B7': 2, 'Em': 1, 'Dm': 1}",116 
How To Save A Life,G,3rd fret,"['G', 'D/F#', 'Bm', 'Em', 'D', 'C']","{'G': 39, 'D/F#': 42, 'Bm': 2, 'Em': 26, 'D': 31, 'C': 12}",122 
The Scientist,Bm,3rd fret,"['Bm7', 'Dm7', 'G', 'A#', 'Gadd9', 'A#add9', 'A', 'C', 'A7', 'C7', 'D6sus2', 'D', 'Dsus2', 'DadC#6', 'Dmaj7']","{'Bm7': 17, 'Dm7': 1, 'G': 23, 'A#': 1, 'Gadd9': 16, 'A#add9': 1, 'A': 3, 'C': 1, 'A7': 3, 'C7': 1, 'D6sus2': 2, 'D': 29, 'Dsus2': 18, 'DadC#6': 1, 'Dmaj7': 1}",75 
Starman,F,no capo,"['A#/A', 'Fmaj7', 'Gm', 'F', 'C', 'C7', 'G#', 'A#', 'A', 'G', 'Dm', 'Am', 'Am7/G', 'A#m', 'D7']","{'A#/A': 2, 'Fmaj7': 2, 'Gm': 7, 'F': 28, 'C': 20, 'C7': 10, 'G#': 2, 'A#': 12, 'A': 2, 'G': 2, 'Dm': 6, 'Am': 6, 'Am7/G': 6, 'A#m': 3, 'D7': 3}",96 
Sultans Of Swing,Dm,no capo,"['Dm', 'Dm/C', 'C', 'A#', 'A', 'F', 'A7']","{'Dm': 43, 'Dm/C': 2, 'C': 58, 'A#': 45, 'A': 16, 'F': 8, 'A7': 1}",150 
Drops Of Jupiter,C,no capo,"['C', 'G', 'F', 'D', 'Dm', 'A#']","{'C': 18, 'G': 21, 'F': 24, 'D': 7, 'Dm': 3, 'A#': 2}",80 
Someone Like You,A,no capo,"['A', 'A/G#', 'F#m', 'D', 'E9', 'E9/D', 'E', 'E/B', 'F#m/C#', 'Bm', 'A/C#', 'E/D', 'E/G#']","{'A': 25, 'A/G#': 6, 'F#m': 28, 'D': 32, 'E9': 4, 'E9/D': 2, 'E': 15, 'E/B': 1, 'F#m/C#': 1, 'Bm': 1, 'A/C#': 1, 'E/D': 1, 'E/G#': 3}",67 
The Boxer,B,no capo,"['C', 'C/B', 'Am', 'G', 'G7', 'G6', 'F', 'Em']","{'C': 40, 'C/B': 15, 'Am': 43, 'G': 31, 'G7': 13, 'G6': 6, 'F': 13, 'Em': 11}",93 
Summertime Sadness,F,4th fret,"['F', 'Am', 'G', 'Dm']","{'F': 29, 'Am': 28, 'G': 30, 'Dm': 26}",112 
Blackbird,G,no capo,"['G', 'Am7', 'G/B', 'C', 'D', 'Dadd4', 'D#(b5)', 'Em', 'Cm', 'A7', 'F', 'Fadd9', 'Dm', 'Dmadd4', 'Gm/A#', 'C#dim', 'D#aug', 'C#dim', 'C/D']","{'G': 23, 'Am7': 8, 'G/B': 16, 'C': 19, 'D': 9, 'Dadd4': 1, 'D#(b5)': 5, 'Em': 9, 'Cm': 5, 'A7': 11, 'F': 5, 'Fadd9': 1, 'Dm': 5, 'Dmadd4': 1, 'Gm/A#': 5, 'C#dim': 4, 'D#aug': 4, 'C#dim': 4, 'C/D': 10}",NF
With Or Without You,D,no capo,"['D', 'A', 'Bm', 'G']","{'D': 31, 'A': 28, 'Bm': 28, 'G': 28}",110 
Golden Hour,Key Not Find,no capo,"['A', 'E', 'F#m', 'Amaj7', 'E/G#', 'Emaj7', 'G#m', 'G#m/G', 'G#', 'Am', 'E7', 'G#m7', 'G', 'Bm', 'F#7']","{'A': 1, 'E': 2, 'F#m': 8, 'Amaj7': 14, 'E/G#': 2, 'Emaj7': 11, 'G#m': 3, 'G#m/G': 2, 'G#': 2, 'Am': 7, 'E7': 3, 'G#m7': 1, 'G': 1, 'Bm': 1, 'F#7': 1}",188 
The Christmas Song,C,1st fret,"['Cmaj7', 'Dm7', 'Em7', 'Gm7', 'C7', 'Fmaj7', 'E7', 'Am', 'Fm6', 'C', 'B7', 'Emaj7', 'Fm7', 'G', 'G7', 'Em', 'A7', 'Gm', 'A#7', 'D#', 'D7', 'Gsus4']","{'Cmaj7': 6, 'Dm7': 9, 'Em7': 4, 'Gm7': 3, 'C7': 6, 'Fmaj7': 5, 'E7': 3, 'Am': 3, 'Fm6': 3, 'C': 5, 'B7': 3, 'Emaj7': 1, 'Fm7': 2, 'G': 2, 'G7': 3, 'Em': 1, 'A7': 2, 'Gm': 2, 'A#7': 1, 'D#': 1, 'D7': 1, 'Gsus4': 1}",NF
Sittin On The Dock Of The Bay,G,no capo,"['G', 'B7', 'C', 'A', 'E', 'D', 'F']","{'G': 26, 'B7': 6, 'C': 9, 'A': 9, 'E': 10, 'D': 4, 'F': 1}",NF
Across The Universe,C#,no capo,"['D', 'F#m', 'A', 'Bm', 'Em7', 'A7', 'Gm', 'A7sus4', 'G']","{'D': 18, 'F#m': 7, 'A': 11, 'Bm': 6, 'Em7': 6, 'A7': 10, 'Gm': 2, 'A7sus4': 3, 'G': 6}",76 
Circles,C,no capo,"['Cmaj7', 'Fmaj7', 'Fm', 'C', 'F', 'C/B', 'Cmaj7/B']","{'Cmaj7': 21, 'Fmaj7': 13, 'Fm': 18, 'C': 8, 'F': 13, 'C/B': 3, 'Cmaj7/B': 1}",120 
Beggin,Bm,no capo,"['Bm', 'G', 'C#m7', 'F#7']","{'Bm': 29, 'G': 25, 'C#m7': 25, 'F#7': 25}",134 
Otherside,Am,no capo,"['Am', 'F', 'C', 'G', 'Em', 'A']","{'Am': 29, 'F': 16, 'C': 20, 'G': 24, 'Em': 16, 'A': 8}",122 
This Town,C,2nd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am7', 'G/F#', 'C', 'Em', 'D/F#']","{'G': 23, 'Em7': 20, 'Cadd9': 16, 'D': 16, 'Am7': 4, 'G/F#': 4, 'C': 1, 'Em': 3, 'D/F#': 1}",112 
The Greatest Showman - A Million Dreams,G,no capo,"['G', 'D/F#', 'Em', 'C', 'D', 'Am', 'Em7', 'B', 'A']","{'G': 23, 'D/F#': 26, 'Em': 14, 'C': 30, 'D': 9, 'Am': 7, 'Em7': 2, 'B': 3, 'A': 2}",74 
My Sweet Lord,F#m,2nd fret,"['Em', 'A', 'D', 'Bm', 'F#dim', 'B7', 'D7', 'G#dim', 'C#7', 'F#m', 'B', 'E', 'C#m']","{'Em': 17, 'A': 17, 'D': 11, 'Bm': 7, 'F#dim': 4, 'B7': 5, 'D7': 2, 'G#dim': 5, 'C#7': 5, 'F#m': 33, 'B': 33, 'E': 11, 'C#m': 7}",121 
Im Only Sleeping,Key Not Find,no capo,"['Em', 'Am', 'G', 'C', 'B7', 'Am7', 'Bm7', 'Cmaj7', 'E', 'B', 'Fmaj7', 'E7', 'Am7/G']","{'Em': 11, 'Am': 11, 'G': 26, 'C': 12, 'B7': 4, 'Am7': 11, 'Bm7': 4, 'Cmaj7': 4, 'E': 6, 'B': 4, 'Fmaj7': 4, 'E7': 2, 'Am7/G': 2}",NF
Crazy Little Thing Called Love,D,no capo,"['D', 'Dsus4', 'G', 'C', 'G/B', 'A#', 'E7', 'A7', 'F7', 'D5', 'C#5', 'C5', 'A5', 'G#5', 'G5', 'A', 'F#', 'E']","{'D': 25, 'Dsus4': 1, 'G': 12, 'C': 18, 'G/B': 8, 'A#': 14, 'E7': 14, 'A7': 4, 'F7': 2, 'D5': 2, 'C#5': 2, 'C5': 2, 'A5': 2, 'G#5': 2, 'G5': 2, 'A': 2, 'F#': 1, 'E': 1}",154 
Hit The Road Jack,Am,no capo,"['Am', 'G', 'F', 'E7']","{'Am': 42, 'G': 42, 'F': 42, 'E7': 42}",173 
10000 Reasons Bless The Lord,G,no capo,"['C', 'G', 'D/F#', 'Em', 'Dsus4', 'D', 'C/G', 'C2', 'Gsus4']","{'C': 33, 'G': 33, 'D/F#': 5, 'Em': 23, 'Dsus4': 8, 'D': 27, 'C/G': 3, 'C2': 3, 'Gsus4': 3}",72 
Funeral,B,4th fret,"['G', 'C', 'Em', 'D']","{'G': 43, 'C': 35, 'Em': 17, 'D': 25}",172 
Count On Me,C,no capo,"['C', 'Em', 'Am', 'G', 'F', 'Dm']","{'C': 15, 'Em': 17, 'Am': 14, 'G': 19, 'F': 16, 'Dm': 4}",178 
Set Fire To The Rain,Am,5th fret,"['Am', 'C', 'G', 'Dm', 'F', 'Am/B', 'G/A', 'C/E', 'Em']","{'Am': 29, 'C': 7, 'G': 32, 'Dm': 19, 'F': 12, 'Am/B': 5, 'G/A': 5, 'C/E': 2, 'Em': 2}",108 
Take On Me ,Bm,2nd fret,"['Am', 'D', 'G', 'C', 'C/B', 'Em', 'Bm', 'F', 'Cadd9']","{'Am': 19, 'D': 36, 'G': 26, 'C': 26, 'C/B': 9, 'Em': 20, 'Bm': 2, 'F': 2, 'Cadd9': 1}",64 
That Funny Feeling,E,2nd fret,"['D', 'G', 'Em', 'A', 'Bm', 'C']","{'D': 31, 'G': 30, 'Em': 20, 'A': 10, 'Bm': 16, 'C': 4}",150 
Mastermind,E,4th fret,"['C', 'F', 'Am', 'G', 'C/B', 'Em']","{'C': 21, 'F': 23, 'Am': 9, 'G': 10, 'C/B': 3, 'Em': 1}",126 
Castle On The Hill,D,no capo,"['D', 'G', 'Bm', 'D/F#', 'A', 'A7sus4', 'Bm7#5']","{'D': 42, 'G': 45, 'Bm': 34, 'D/F#': 28, 'A': 17, 'A7sus4': 24, 'Bm7#5': 1}",145 
Fairytale Of New York,D,no capo,"['D', 'G/D', 'A', 'Asus4/E', 'G', 'G/A', 'Asus4', 'Bm']","{'D': 69, 'G/D': 10, 'A': 34, 'Asus4/E': 4, 'G': 26, 'G/A': 5, 'Asus4': 1, 'Bm': 10}",NF
Accidentally In Love,Key Not Find,no capo,"['G', 'C', 'D', 'Em', 'A', 'Am']","{'G': 31, 'C': 36, 'D': 23, 'Em': 16, 'A': 7, 'Am': 13}",138 
You Are My Sunshine,A,no capo,"['A', 'D', 'E', 'A/D', 'A/C#']","{'A': 33, 'D': 12, 'E': 6, 'A/D': 1, 'A/C#': 1}",80 
Santa Tell Me,G,no capo,"['G', 'C', 'Em', 'D', 'Bm', 'D#', 'F#m']","{'G': 26, 'C': 25, 'Em': 14, 'D': 16, 'Bm': 2, 'D#': 1, 'F#m': 1}",NF
The 30Th,G,no capo,"['G', 'D', 'Em', 'Am', 'C', 'Cm', 'B7']","{'G': 24, 'D': 17, 'Em': 23, 'Am': 8, 'C': 12, 'Cm': 3, 'B7': 7}",72 
Suspicious Minds,G,no capo,"['G', 'C', 'D', 'Bm', 'D7', 'Em', 'B7sus4', 'B7']","{'G': 18, 'C': 29, 'D': 13, 'Bm': 8, 'D7': 5, 'Em': 4, 'B7sus4': 1, 'B7': 1}",116 
Peaceful Easy Feeling,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']","{'D': 47, 'Dsus4': 8, 'G': 41, 'A7': 24, 'Em': 13}",143 
Stitches,A#m,1st fret,"['Am', 'G', 'C', 'F']","{'Am': 30, 'G': 32, 'C': 26, 'F': 29}",150 
Numb,F#m,2nd fret,"['Em', 'C', 'G', 'D', 'D/F#', 'Bm7', 'B', 'Bsus4']","{'Em': 19, 'C': 21, 'G': 19, 'D': 22, 'D/F#': 1, 'Bm7': 1, 'B': 1, 'Bsus4': 1}",110 
I Dont Want To Miss A Thing,D,no capo,"['D', 'A', 'Bm', 'G', 'Em', 'F#m', 'C', 'A#', 'F', 'Dm']","{'D': 22, 'A': 26, 'Bm': 4, 'G': 16, 'Em': 13, 'F#m': 1, 'C': 2, 'A#': 1, 'F': 1, 'Dm': 1}",60 
Moon River,G,no capo,"['G', 'Em', 'C', 'Am', 'B7', 'G7', 'Cm', 'Em7', 'A7', 'D7']","{'G': 19, 'Em': 9, 'C': 12, 'Am': 7, 'B7': 3, 'G7': 2, 'Cm': 5, 'Em7': 4, 'A7': 2, 'D7': 4}",80 
No Se Va,Key Not Find,no capo,"['F', 'Am', 'C', 'G']","{'F': 16, 'Am': 19, 'C': 16, 'G': 16}",NF
Complicated,Dm,no capo,"['Dm', 'A#', 'F', 'C', 'Gm']","{'Dm': 25, 'A#': 32, 'F': 23, 'C': 25, 'Gm': 4}",78 
Can You Feel The Love Tonight,A#,3rd fret,"['G', 'D/F#', 'C/E', 'G/D', 'C', 'G/B', 'Am7', 'D', 'Em', 'F', 'A/C#', 'Am', 'C/D', 'C/G']","{'G': 20, 'D/F#': 8, 'C/E': 2, 'G/D': 7, 'C': 34, 'G/B': 19, 'Am7': 3, 'D': 10, 'Em': 11, 'F': 2, 'A/C#': 6, 'Am': 6, 'C/D': 3, 'C/G': 3}",62 
Skyfall,Cm,3rd fret,"['Am', 'Am/G', 'F', 'F/E', 'E', 'Esus', 'D', 'D/C', 'Dm', 'Dm7/A', 'Asus2/C', 'Bm7b5', 'Esus/B', 'E/C', 'Asus2']","{'Am': 23, 'Am/G': 9, 'F': 22, 'F/E': 10, 'E': 13, 'Esus': 8, 'D': 23, 'D/C': 8, 'Dm': 13, 'Dm7/A': 2, 'Asus2/C': 6, 'Bm7b5': 9, 'Esus/B': 2, 'E/C': 1, 'Asus2': 1}",75 
Cant Take My Eyes Off You,C#,1st fret,"['C', 'Cmaj7', 'C7', 'F', 'Fm7', 'Dm7', 'G7', 'G', 'Em7', 'Am7', 'A#7', 'A7', 'D', 'Dmaj7', 'D7sus4', 'Gm7', 'F#m7', 'Bm7', 'Em', 'B7']","{'C': 8, 'Cmaj7': 2, 'C7': 3, 'F': 2, 'Fm7': 2, 'Dm7': 6, 'G7': 2, 'G': 4, 'Em7': 6, 'Am7': 2, 'A#7': 1, 'A7': 5, 'D': 5, 'Dmaj7': 1, 'D7sus4': 1, 'Gm7': 1, 'F#m7': 2, 'Bm7': 2, 'Em': 1, 'B7': 1}",88 
All My Loving,Em,2nd fret,"['Em', 'A7', 'D', 'Bm', 'G', 'C', 'A', 'A#aug']","{'Em': 10, 'A7': 9, 'D': 19, 'Bm': 12, 'G': 7, 'C': 3, 'A': 4, 'A#aug': 4}",156 
Creep,C,no capo,"['C', 'E', 'F', 'Fm']","{'C': 12, 'E': 11, 'F': 11, 'Fm': 11}",92 
Karma,Key Not Find,1st fret,"['D', 'Am7', 'C', 'G', 'Bm', 'F#m', 'A']","{'D': 17, 'Am7': 16, 'C': 17, 'G': 17, 'Bm': 1, 'F#m': 1, 'A': 1}",NF
Stairway To Heaven,Am,no capo,"['Am', 'E+', 'C', 'D', 'F', 'G', 'Em', 'Dsus4', 'Dsus2', 'Cadd9']","{'Am': 51, 'E+': 6, 'C': 37, 'D': 35, 'F': 21, 'G': 48, 'Em': 7, 'Dsus4': 4, 'Dsus2': 2, 'Cadd9': 2}",NF
Wonderwall,Em,2nd fret,"['Em7', 'G', 'Dsus4', 'A7sus4', 'Cadd9', 'Dsus4/F#']","{'Em7': 36, 'G': 25, 'Dsus4': 18, 'A7sus4': 15, 'Cadd9': 16, 'Dsus4/F#': 2}",88 
Torn,F,no capo,"['F', 'Fsus4', 'Fsus2', 'Am', 'A#', 'Dm', 'C']","{'F': 28, 'Fsus4': 1, 'Fsus2': 1, 'Am': 8, 'A#': 18, 'Dm': 18, 'C': 24}",96 
Summer Of 69,D,no capo,"['D', 'A', 'D', 'A', 'Bm', 'G', 'F', 'A#', 'C', 'A#/D']","{'D': 31, 'A': 30, 'Bm': 9, 'G': 6, 'F': 2, 'A#': 2, 'C': 2, 'A#/D': 1}",138 
Proud Mary,D,no capo,"['C', 'A', 'G', 'F', 'F6', 'D', 'Bm']","{'C': 9, 'A': 14, 'G': 3, 'F': 9, 'F6': 3, 'D': 28, 'Bm': 5}",120 
Bridge Over Troubled Water,D#,3rd fret,"['C', 'F', 'A#', 'G', 'Am', 'G7', 'C7', 'D', 'F#dim', 'A7sus', 'A7', 'E7', 'G9', 'D7', 'Fm', 'Fmaj7', 'D9', 'E']","{'C': 33, 'F': 38, 'A#': 3, 'G': 9, 'Am': 13, 'G7': 2, 'C7': 9, 'D': 3, 'F#dim': 4, 'A7sus': 3, 'A7': 3, 'E7': 5, 'G9': 1, 'D7': 1, 'Fm': 2, 'Fmaj7': 2, 'D9': 3, 'E': 2}",NF
Ceilings,Key Not Find,2nd fret,"['C', 'Em', 'G', 'D', 'B7']","{'C': 20, 'Em': 9, 'G': 10, 'D': 16, 'B7': 1}",148 
Run Away To Mars,Key Not Find,2nd fret,"['G', 'D', 'Em7', 'Cadd9', 'Em', 'Am7', 'Dsus4', 'Am']","{'G': 27, 'D': 23, 'Em7': 3, 'Cadd9': 17, 'Em': 15, 'Am7': 6, 'Dsus4': 3, 'Am': 4}",NF
I Love You,C,no capo,"['Fmaj7', 'Cadd9', 'C', 'Dm', 'G', 'Am']","{'Fmaj7': 18, 'Cadd9': 12, 'C': 6, 'Dm': 4, 'G': 4, 'Am': 3}",138 
Save Your Tears,C,no capo,"['C', 'Am', 'Em', 'G', 'Dm', 'F', 'F/G']","{'C': 23, 'Am': 25, 'Em': 22, 'G': 23, 'Dm': 3, 'F': 3, 'F/G': 2}",118 
